firstName,lastName,prefix,suffix,alternateSpellings,sourceNames,roles
Adam,Benn,,,,Adam Benn,neighbor
Daniel,Bennizen,,,,Daniel Bennizen,deed
John,Benson,,,,John Benson,deed
Mary,Benson,,,,Mary Benson,deed
Ambrose,Bequer,,,,Ambrose Bequer,deed
Catherine,Bequer,,,Catharine Bequer,Catharine Bequer,deed
Daniel,Betton,,,,Daniel Betton,neighbor
Caroline,Bickley,,,,Caroline Bickley,deed
Mortimer,Bickley,,,,Mortimer Bickley,deed
Ann,Billew,,,,Ann Billew,deed
Daniel,Billew,,,,Daniel Billew,deed
Anthony,Binsfield,,,,Anthony Binsfield,deed
Mary,Blaire,,,,Mary Blaire,deed
Philip,Blaire,,,,Philip Blaire,deed
George,Bloomhart,,,,George Bloomhart,deed|neighbor
Isabel,Bodley,,,Isabella Bodley,Isabel Bodley|Isabella Bodley,deed
James,Bodley,,,,James Bodley,deed|neighbor
John,Bodley,,,,John Bodley,deed
Margaret,Bodley,,,,Margaret Bodley,deed
Sarah,Bodley,,,,Sarah Bodley,deed
Thomas,Bodley,,,,Thomas Bodley,deed|neighbor
William,Bodley,,,,William Bodley,deed
Williamina,Bond,,,,Williamina Bond,deed
George,Bones,,,,George Bones,deed
James,Bones,,,,James Bones,deed
Mary Ann,Bones,,,,Mary Ann Bones,deed
Rebecca,Bones,,,,Rebecca Bones,deed
William,Bones,,,,William Bones,deed
Elizabeth,Bowen,,,,Elizabeth Bowen,deed
Ezekiel,Bowen,,,Ezekial Bowen,Ezekial Bowen|Ezekiel Bowen,deed
George,Bowen,,,,George Bowen,deed
John,Bowen,,,,John Bowen,deed
Sarah,Bowen,,,,Sarah Bowen,deed
Thomas,Bowen,,,,Thomas Bowen,neighbor
Rachell,Bowes,,,,Rachell Bowes,deed
Thomas,Bowman,,,,Thomas Bowman,deed
Andrew,Boyd,,,,Andrew Boyd,deed
Benjamin,Boyer,,,Benjamin Bower,Benjamin Bower|Benjamin Boyer,deed|neighbor
Gainor,Boyer,,,,Gainor Boyer,deed
Jacob,Boyer,,,,Jacob Boyer,deed
Margaret,Boyer,,,,Margaret Boyer,deed
R.,Boyle,,,,R. Boyle,deed
Rebecca,Boyle,,,,Rebecca Boyle,deed
Robert,Boyle,,,,Robert Boyle,deed
Cornelia,Bradford,,,,Cornelia Bradford,deed
Mary,Brady,,,,Mary Brady,deed
Michael,Brady,,,,Michael Brady,deed
Caleb,Brinton,,,,Caleb Brinton,deed
Catherine,Brinton,,,,Catherine Brinton,deed
Jane,Brinton,,,,Jane Brinton,deed
Joseph,Brinton,,,,Joseph Brinton,deed
Mary,Brinton,,,,Mary Brinton,deed
Sibbilla,Brinton,,,,Sibbilla Brinton,deed
Thomas,Brinton,,,,Thomas Brinton,deed
Julia,Britton,,,,Julia Britton,deed
Abigail,Brode,,,,Abigail Brode,deed
Daniel,Brode,,,,Daniel Brode,deed
Elizabeth,Brook,,,,Elizabeth Brook,deed
Samuel,Brook,,,,Samuel Brook,deed|neighbor
Harriet,Brooke,,,Harriett Brooke,Harriett Brooke,deed
Joseph,Brooke,,,,Joseph Brooke,deed
Mary,Brooke,,,,Mary Brooke,deed
Ress,Brooke,,,,Ress Brooke,deed
Sarah,Brooke,,,,Sarah Brooke,deed
Samuel,Brookes,,,,Samuel Brookes,neighbor
Samuel P.,Broome,,,,Samuel P. Broome,deed|neighbor
Abraham,Brower,,,,Abraham Brower,deed
Ann,Brower,,,,Ann Brower,deed
John,Brower,,,,John Brower,deed
Margaret,Brower,,,,Margaret Brower,deed
Elias,Brown,,,,Elias Brown,deed|neighbor
Thomas,Brown,,,,Thomas Brown,deed
William,Brown,,,,William Brown,deed
Andrew,Buchanan,,,,Andrew Buchanan,deed
Leah,Buchanan,,,,Leah Buchanan,deed
Caroline,Buck,,,,Caroline Buck,deed
Robert,Buck,,,,Robert Buck,deed
Samuel,Buckley,,,,Samuel Buckley,neighbor|patent
Ann,Buckwalter,,,,Ann Buckwalter,deed
Catherine,Buckwalter,,,Catharine Buckwalter,Catharine Buckwalter,deed
Christopher,Buckwalter,,,,Christopher Buckwalter,deed
Daniel,Buckwalter,,,,Daniel Buckwalter,deed|neighbor
David,Buckwalter,,,,David Buckwalter,deed|neighbor
Elizabeth,Buckwalter,,,,Elizabeth Buckwalter,deed
Francis,Buckwalter,,,,Francis Buckwalter,deed
Jacob,Buckwalter,,,,Jacob Buckwalter,deed|neighbor
John,Buckwalter,,,,John Buckwalter,deed|neighbor|quit rent
Joseph,Buckwalter,,,,Joseph Buckwalter,deed
Madeline,Buckwalter,,,,Madeline Buckwalter,deed
Mary,Buckwalter,,,,Mary Buckwalter,deed
Matthias,Buckwalter,,,,Matthias Buckwalter,deed
Samuel,Buckwalter,,,,Samuel Buckwalter,deed|neighbor
Sarah,Buckwalter,,,,Sarah Buckwalter,deed
Sophia,Buckwalter,,,,Sophia Buckwalter,deed
Yost,Buckwalter,,,,Yost Buckwalter,deed|neighbor
John,Budd,,,,John Budd,deed|neighbor
Rebecca,Budd,,,,Rebecca Budd,deed
Sarah,Budd,,,,Sarah Budd,deed
