firstName,lastName,prefix,suffix,alternateSpellings,sourceNames,roles
Catherine,Emrich,,,Catharine Emrich,Catharine Emrich,deed
Valentine,Emrich,,,,Valentine Emrich,deed
Lodevick,Emrick,,,,Lodevick Emrick,deed
Silas,Engle,,,,Silas Engle,deed
Edward,English,,,,Edward English,deed
Edward B.,English,,,,Edward B. English,deed
Elizabeth,Evan,,,,Elizabeth Evan,deed
John,Evan,,,,John Evan,deed|neighbor
William,Evan,,,,William Evan,deed
Brook,Evans,,,,Brook Evans,deed
Evan,Evans,,,,Evan Evans,deed
Ezekiel,Evans,,,Ezekial Evans,Ezekial Evans,deed
Hannah,Evans,,,,Hannah Evans,deed
John,Evans,,,,John Evans,neighbor
Joseph,Evans,,,,Joseph Evans,deed
Levi,Evans,,,,Levi Evans,deed
Phares,Evans,,,,Phares Evans,deed
Randal,Evans,,,,Randal Evans,deed
Randel,Evans,,,,Randel Evans,deed
Rebecca,Evans,,,,Rebecca Evans,deed
Stephen,Evans,,,,Stephen Evans,deed
Susanna,Evans,,,,Susanna Evans,deed
Thomas,Evans,,,,Thomas Evans,deed
Adam,Everly,,,,Adam Everly,deed
Mary,Everly,,,,Mary Everly,deed
Anne,Fagley,,,,Anne Fagley,deed
Samuel,Fagley,,,,Samuel Fagley,deed
Atkinson,Farra,,,,Atkinson Farra,deed
Jerrod,Farra,,,,Jerrod Farra,deed
Mary,Farra,,,,Mary Farra,deed
Samuel,Faudon,,,,Samuel Faudon,deed
James,Faulkner,,,,James Faulkner,deed
Joseph,Faulkner,,,,Joseph Faulkner,deed
Mary,Faulkner,,,,Mary Faulkner,deed
Isaiah,Fawkes,,,,Isaiah Fawkes,deed
William,Ferguson,,,,William Ferguson,deed
Abraham,Fetters,,,,Abraham Fetters,deed
George,Fetters,,,,George Fetters,deed
Christian,Fike,,,,Christian Fike,deed
John,Fike,,,,John Fike,deed
Isaac,Fimple,,,,Isaac Fimple,deed
Jane,Fimple,,,,Jane Fimple,deed
Maria,Fimple,,,,Maria Fimple,deed
Mary,Fimple,,,,Mary Fimple,deed
Jesse,Finkliner,,,,Jesse Finkliner,deed
John,Fipple,,,,John Fipple,deed
Benjamin F.,Fisher,,,,Benjamin F. Fisher,deed
C. Arthur,Fisher,,,,C. Arthur Fisher,deed
Matthais,Fitzgerald,,,,Matthais Fitzgerald,neighbor
Matthias,Fitzgerald,,,,Matthias Fitzgerald,deed|neighbor
Sarah,Fitzgerald,,,,Sarah Fitzgerald,deed
John,Fletcher,,,,John Fletcher,deed
Ann,Flinn,,,Ann Flinn (Carrell)|Carrell,Ann Flinn (Carrell),deed
Henry,Flower,,,,Henry Flower,neighbor
Samuel,Flower,,,,Samuel Flower,deed|neighbor
Henry,Flowers,,,,Henry Flowers,deed
Ann,Folwell,,,,Ann Folwell,deed
Charles,Folwell,,,,Charles Folwell,deed
Christana,Foose,,,,Christana Foose,deed
Eleanor,Foose,,,,Eleanor Foose,deed
Frederick,Foose,,,,Frederick Foose,deed
Nicholas,Foose,,,,Nicholas Foose,deed|neighbor
Jacob,Force,,,,Jacob Force,deed
Hannah,Ford,,,,Hannah Ford,deed
John,Ford,,,,John Ford,deed
Matthew,Forrest,,,,Matthew Forrest,deed|neighbor
Frank B.,Forster,,,,Frank B. Forster,atlas
George,Fox,,,,George Fox,deed
Mary,Fox,,,,Mary Fox,deed
Rees,Frances,,,,Rees Frances,deed|neighbor
Ann,Francis,,,,Ann Francis,deed
Casper,Francis,,,,Casper Francis,deed
John,Francis,,,,John Francis,deed|neighbor
Hugh,Frazer,,,,Hugh Frazer,neighbor
Ann,Frazier,,,,Ann Frazier,deed
Hugh,Frazier,,,,Hugh Frazier,deed|neighbor
Laurie,Free,,,,Laurie Free,deed
Lewis,Free,,,,Lewis Free,deed
Mary,Free,,,,Mary Free,deed
William,Free,,,,William Free,deed
Henry,Freed,,,,Henry Freed,deed
Isaac,Freed,,,,Isaac Freed,deed
Veronica,Freed,,,,Veronica Freed,deed
Catherine,Freedly,,,Catharine Freedly,Catharine Freedly,deed
Henry,Freedly,,,,Henry Freedly,deed
Elizabeth,Freeman,,,,Elizabeth Freeman,deed
Casper,Friday,,,,Casper Friday,deed
Rebecca,Friday,,,,Rebecca Friday,deed
Henry,Friedley,,,,Henry Friedley,deed
Edward,Frith,,,,Edward Frith,deed
Emily,Frith,,,,Emily Frith,deed
John,Fry,,,,John Fry,deed
Mary,Fry,,,,Mary Fry,deed
Sampson,Fudge,,,,Sampson Fudge,deed|neighbor
Andrew,Fulmer,,,,Andrew Fulmer,deed
Christian,Fulmer,,,,Christian Fulmer,deed
George,Fulmer,,,,George Fulmer,deed
Hannah,Fulmer,,,,Hannah Fulmer,deed
Ann,Funderwhite,,,,Ann Funderwhite,deed
Eliza,Funderwhite,,,,Eliza Funderwhite,deed
Frederick,Funderwhite,,,,Frederick Funderwhite,deed
John,Funderwhite,,,,John Funderwhite,deed
Martha,Funderwhite,,,,Martha Funderwhite,deed
Mary,Funderwhite,,,,Mary Funderwhite,deed
Ann,Funk,,,,Ann Funk,deed
Benjamin,Funk,,,,Benjamin Funk,deed
Elijah,Funk,,,,Elijah Funk,deed|neighbor
Eliza,Funk,,,,Eliza Funk,deed
Elizabeth,Funk,,,,Elizabeth Funk,deed
George,Funk,,,,George Funk,deed
John,Funk,,,,John Funk,deed
Joseph,Funk,,,,Joseph Funk,deed
Margaret,Funk,,,,Margaret Funk,deed
Benjamin,Furly,,,,Benjamin Furly,patent
Bartholomew,Fussell,,,,Bartholomew Fussell,deed
Solomon,Fussell,,,,Solomon Fussell,deed|neighbor
William,Fussell,,,,William Fussell,neighbor
Annie,Gallagher,,,,Annie Gallagher,deed
Bridget,Gallagher,,,,Bridget Gallagher,deed
Elizabeth,Gallagher,,,,Elizabeth Gallagher,deed
Jane,Gallagher,,,,Jane Gallagher,deed
Patrick,Gallagher,,,,Patrick Gallagher,deed
Thomas,Gallagher,,,,Thomas Gallagher,deed
Tim,Gallagher,,,,Tim Gallagher,deed
Ann,Gamble,,,,Ann Gamble,deed
James,Gamble,,,,James Gamble,deed
Barbara,Garber,,,,Barbara Garber,deed
Peter,Gardener,,,,Peter Gardener,deed|neighbor
Sarah,Gardener,,,,Sarah Gardener,deed
William,Garrett,,,,William Garrett,deed
Edward,Garrigues,,,,Edward Garrigues,deed
Ann,Gearhart,,,,Ann Gearhart,deed
Frederick,Gearhart,,,,Frederick Gearhart,deed|neighbor
Hannah,Geiger,,,,Hannah Geiger,deed
John,Gemmil,,,,John Gemmil|John Gemmil 1,deed|neighbor
Thomas,George,,,,Thomas George,deed
William,George,,,,William George,deed
Henry,Gerber,,,,Henry Gerber,deed
David,Gibbs,,,,David Gibbs,neighbor
Elizabeth,Gilham,,,,Elizabeth Gilham,deed
William,Gilham,,,,William Gilham,deed
H.,Gilkyson,,,,H. Gilkyson,deed
Ann,Gillespie,,,,Ann Gillespie,deed
Annie,Gillespie,,,,Annie Gillespie,deed
David,Gillespie,,,,David Gillespie,deed
James,Glasco,,,,James Glasco,neighbor
Hiram,Glisson,,,,Hiram Glisson,deed
Levi,Glisson,,,,Levi Glisson,deed
John,Gnagy,,,,John Gnagy,patent
Catherine,Golden,,,,Catherine Golden,deed
Charles,Golden,,,,Charles Golden,deed
Daniel,Goldsmith,,,,Daniel Goldsmith,deed
Jeremiah,Goldsmith,,,,Jeremiah Goldsmith,deed
Susanna,Goldsmith,,,Susannah Goldsmith,Susannah Goldsmith,deed
Isabel,Gorden,,,,Isabel Gorden,deed
Jacob,Gordon,,,,Jacob Gordon,deed
Magdalen,Gordon,,,,Magdalen Gordon,deed
Mary,Gordon,,,,Mary Gordon,deed
Silas,Gordon,,,,Silas Gordon,deed
Christian,Gotwalls,,,,Christian Gotwalls,neighbor
George,Graham,,,,George Graham,deed
Mary,Graham,,,,Mary Graham,deed
William,Graham,,,,William Graham,deed|neighbor
Ellen,Green,,,,Ellen Green,deed
Jacob,Green,,,,Jacob Green,deed
John,Green,,,,John Green,deed
Barbara,Griffith,,,,Barbara Griffith,deed
Charles,Griffith,,,,Charles Griffith,deed
David,Griffith,,,,David Griffith,deed
Jedediah,Griffith,,,,Jedediah Griffith,deed
John,Griffith,,,,John Griffith,deed|neighbor
Margaret,Griffith,,,,Margaret Griffith,deed
Mary,Griffith,,,,Mary Griffith,deed
Mary Ann,Griffith,,,,Mary Ann Griffith,deed
Ruth,Griffith,,,,Ruth Griffith,deed
Samuel,Griffith,,,,Samuel Griffith,deed
William,Griffith,,,,William Griffith,deed|neighbor
David,Griffiths,,,,David Griffiths,neighbor
John,Griffiths,,,,John Griffiths,deed
Margaret,Griffiths,,,,Margaret Griffiths,deed
Sarah,Griffiths,,,,Sarah Griffiths,deed
Jedediah,Griffth,,,,Jedediah Griffth,neighbor
John,Grimsey,,,,John Grimsey,deed
Andreas Henry,Groff,,,,Andreas Henry Groff,deed
John,Gronow,,,,John Gronow,deed
Peter,Grove,,,,Peter Grove,neighbor
Thomas J.,Grover,,,,Thomas J. Grover,deed
Joseph,Growdon,,,,Joseph Growdon,deed
Simeon,Grubb,,,,Simeon Grubb,deed
Ann,Guest,,,,Ann Guest,deed
John,Guest,,,,John Guest,deed
Davis,Gunkle,,,,Davis Gunkle,deed
Elizabeth,Gunkle,,,,Elizabeth Gunkle,deed
John,Gunkle,,,,John Gunkle,deed
Michael,Gunkle,,,,Michael Gunkle,deed|neighbor
W.,Gunkle,,,,W. Gunkle,deed
Lavinia,Guss,,,,Lavinia Guss,deed
Samuel,Guss,,,,Samuel Guss,deed
Catherine,Gwinn,,,Catharine Gwinn,Catharine Gwinn,deed
Hannah,Gwinn,,,,Hannah Gwinn,deed
Horation,Gwinn,,,,Horation Gwinn,deed
John,Gwinn,,,,John Gwinn,deed
Mary,Gwinn,,,,Mary Gwinn,deed
Rachel,Gwinn,,,,Rachel Gwinn,deed
Jesse,Gyger,,,,Jesse Gyger,deed
Jeremiah,Hagerman,,,,Jeremiah Hagerman,deed
Philip,Hahn,,,,Philip Hahn,deed
Jane,Haines,,,,Jane Haines,deed
Reuben,Haines,,,,Reuben Haines,deed
Richard,Haldiman,,,,Richard Haldiman,quit rent
Ann,Hall,,,,Ann Hall,deed
Elizabeth,Hall,,,,Elizabeth Hall,deed
George,Hall,,,,George Hall,deed
Henry,Hall,,,,Henry Hall,deed
John,Hall,,,,John Hall,deed
Joseph,Hall,,,,Joseph Hall,deed
Levi,Hall,,,,Levi Hall,deed
Phebe,Hall,,,,Phebe Hall,deed
Thomas,Hall,,,,Thomas Hall,deed
Noah,Hallman,,,,Noah Hallman,deed
John,Hambright,,,,John Hambright,deed
James,Hamilton,,,,James Hamilton,deed
Alexander,Hampton,,,,Alexander Hampton,deed
Harriet,Hampton,,,Harriett Hampton,Harriett Hampton,deed
Isaac,Hampton,,,,Isaac Hampton,deed
John,Hampton,,,,John Hampton,deed
Joseph,Hampton,,,,Joseph Hampton,deed
Mary,Hampton,,,,Mary Hampton,deed
Samuel,Hampton,,,,Samuel Hampton,deed
Thomas,Hampton,,,,Thomas Hampton,deed
Isaac,Hancock,,,,Isaac Hancock,neighbor
William,Hancock,,,,William Hancock,deed
John,Hange,,,,John Hange,deed
Robert,Hanley,,,aka Handly|Robert Hanley (aka Handly),Robert Hanley|Robert Hanley (aka Handly),deed|neighbor
James,Harkins,,,,James Harkins,deed
Rachel,Harkins,,,,Rachel Harkins,deed
Abraham,Harley,,,,Abraham Harley,deed
Abram,Harley,,,,Abram Harley,neighbor
Daniel,Harp,,,,Daniel Harp,deed
Tacy,Harp,,,,Tacy Harp,deed
Hnery,Harpst,,,,Hnery Harpst,deed
Ann,Harris,,,,Ann Harris,deed
John,Harris,,,,John Harris,deed
Peter,Harris,,,,Peter Harris,deed
Thomas,Harris,,,,Thomas Harris,deed
Hannah,Harrison,,,,Hannah Harrison,deed
Mary,Harrison,,,,Mary Harrison,deed
Thomas,Harrison,,,,Thomas Harrison,deed
William,Harrison,,,,William Harrison,deed
David,Harry,,,,David Harry,deed
Benjamin,Hartman,,,,Benjamin Hartman,deed
Catherine,Hartman,,,Catharine Hartman,Catharine Hartman,deed
David,Hartman,,,,David Hartman,deed
Edith,Hartman,,,,Edith Hartman,deed
Elizabeth,Hartman,,,,Elizabeth Hartman,deed
Emma,Hartman,,,,Emma Hartman,deed
Francis,Hartman,,,,Francis Hartman,deed
George,Hartman,,,,George Hartman,deed
Jacob,Hartman,,,,Jacob Hartman,deed
Joseph,Hartman,,,,Joseph Hartman,deed
Margaret,Hartman,,,,Margaret Hartman,deed
Michael,Hartman,,,,Michael Hartman,deed
Moses,Hartman,,,,Moses Hartman,deed
Orpha,Hartman,,,,Orpha Hartman,deed
Peter,Hartman,,,,Peter Hartman,deed
Henry,Hartzel,,,,Henry Hartzel,deed
Sarah,Hartzel,,,,Sarah Hartzel,deed
Elizabeth,Harvey,,,,Elizabeth Harvey,deed
James,Harvey,Captain,,,Captain James Harvey,deed
Job,Harvey,,,,Job Harvey,deed|neighbor|quit rent
Joseph,Harvey,,,,Joseph Harvey,deed
Martha,Harvey,,,,Martha Harvey,deed
Samuel,Harvey,,,,Samuel Harvey,deed|neighbor
Samuel,Hasles,,,,Samuel Hasles,neighbor
Ann,Hassell,,,,Ann Hassell,neighbor
Samuel,Hassell,,,,Samuel Hassell,patent
Jacob,Haucks,,,,Jacob Haucks,neighbor
Catherine,Hause,,,Catharine Hause,Catharine Hause,deed
David,Hause,,,,David Hause,deed
Jacob,Hause,,,,Jacob Hause,deed
John,Hause,,,,John Hause,deed
Sarah,Hause,,,,Sarah Hause,deed
David,Havard,,,,David Havard,deed
Mary,Havard,,,,Mary Havard,deed
Samuel,Havard,,,,Samuel Havard,deed
Aaron,Hawk,,,,Aaron Hawk,deed
Benjamin,Hawk,,,,Benjamin Hawk,deed
Catherine,Hawk,,,Catharine Hawk,Catharine Hawk,deed
David,Hawk,,,,David Hawk,deed
George,Hawk,,,,George Hawk,deed
Isaac,Hawk,,,,Isaac Hawk,deed
J.,Hawk,,,,J. Hawk,neighbor
Jacob,Hawk,,,,Jacob Hawk,deed|neighbor
John,Hawk,,,,John Hawk,deed|neighbor
Rachel,Hawk,,,,Rachel Hawk,deed
William,Hay,,,,William Hay,deed
George,Hayes,,,,George Hayes,deed
Mary,Hayman,,,,Mary Hayman,deed
Edward,Heaston,,,,Edward Heaston,neighbor
Abraham,Hebener,,,,Abraham Hebener,deed
Baltzer,Hebener,,,,Baltzer Hebener,deed
Christian,Hebener,,,,Christian Hebener,deed
Susanna,Hebener,,,,Susanna Hebener,deed
Deider,Heckman,,,,Deider Heckman,deed
Detrick,Heckman,,,,Detrick Heckman,deed
Magdalen,Heckman,,,,Magdalen Heckman,deed
Joseph,Heebener,,,,Joseph Heebener,deed
Catherine,Heistand,,,Catharine Heistand,Catharine Heistand,deed
David,Heistand,,,,David Heistand,deed
George,Hellerman,,,,George Hellerman,deed
Hester,Hellerman,,,,Hester Hellerman,deed
Ann,Hendricks,,,,Ann Hendricks,deed
Noah,Hendricks,,,,Noah Hendricks,deed
Hugh,Henry,,,,Hugh Henry,deed
Jane,Henry,,,,Jane Henry,deed
Joseph,Henry,,,,Joseph Henry,deed
Frederick,Henzie,,,,Frederick Henzie,deed
Edward,Heston,,,,Edward Heston,deed
Isaiah,Heston,,,,Isaiah Heston,deed
Mary,Heston,,,,Mary Heston,deed
Joseph,Hickman,,,,Joseph Hickman,deed
Marshall,Hickman,,,,Marshall Hickman,deed
Wellington,Hickman,,,,Wellington Hickman,deed
Daniel,High,,,,Daniel High,deed
David,High,,,,David High,deed
Elizabeth,High,,,,Elizabeth High,deed
Jacob,High,,,,Jacob High,deed
Margaret,High,,,,Margaret High,deed
Elizabeth,Highley,,,,Elizabeth Highley,deed
Felix,Highley,,,,Felix Highley,deed
George,Highley,,,,George Highley,deed
Henry,Highley,,,,Henry Highley,deed
John,Highley,,,,John Highley,deed
Susan,Highley,,,,Susan Highley,deed
Rachel,Hillborn,,,,Rachel Hillborn,deed
Jacob,Hilldebrand,,,,Jacob Hilldebrand,deed
Catherine,Himes,,,Catharine Himes,Catharine Himes,deed
Joseph,Himes,,,,Joseph Himes,deed
John,Hipple,,,,John Hipple,deed
Margaret,Hirst,,,,Margaret Hirst,deed
Marmaduke,Hirst,,,,Marmaduke Hirst,deed
John,Hiser,,,,John Hiser,deed
James,Hoare,,,,James Hoare,neighbor
Benjamin,Hobbs,,,,Benjamin Hobbs,deed
Sarah,Hobbs,,,,Sarah Hobbs,deed
Samuel,Hockley,,,,Samuel Hockley,deed
Isabel,Hodge,,,Isabella Hodge,Isabella Hodge,deed
James,Hodge,,,,James Hodge,deed
Mary,Hodge,,,,Mary Hodge,deed
William,Hodge,,,,William Hodge,deed
James,Hodges,,,,James Hodges,neighbor
Henry,Hoffman,,,,Henry Hoffman,deed
John,Hoffman,,,,John Hoffman,neighbor
Samuel,Hoffman,,,,Samuel Hoffman,neighbor
Anna,Holdeman,,,,Anna Holdeman,deed
Joseph,Holdeman,,,,Joseph Holdeman,deed
Abraham,Holderman,,,,Abraham Holderman,deed
Christian,Holderman,,,,Christian Holderman,deed|neighbor
Elizabeth,Holderman,,,,Elizabeth Holderman,deed
Mary,Holderman,,,,Mary Holderman,deed
Nicolas,Holderman,,,,Nicolas Holderman,deed|neighbor
Hester,Hollings,,,,Hester Hollings,deed
John,Hollings,,,,John Hollings,deed
Elizabeth,Holloway,,,,Elizabeth Holloway,deed
Joseph,Holloway,,,,Joseph Holloway,deed
Adam,Holman,,,,Adam Holman,deed|neighbor
Samuel,Holman,,,,Samuel Holman,deed
Samuel,Holmes,,,,Samuel Holmes,deed
Andrew,Holstone,,,,Andrew Holstone,deed
Lambert,Hood,,,,Lambert Hood,deed
Sarah,Hood,,,,Sarah Hood,deed
Henry,Hooper,,,,Henry Hooper,deed
Caleb,Hoopes,,,,Caleb Hoopes,deed
Sarah,Hoopes,,,,Sarah Hoopes,deed
Thomas,Hoopes,,,,Thomas Hoopes,deed
Margaret,Hope,,,,Margaret Hope,deed
Philip,Hope,,,,Philip Hope,deed|neighbor
Samuel,Horning,,,,Samuel Horning,deed
John,Hoskins,,,,John Hoskins,deed
Rebecca,Hoskins,,,,Rebecca Hoskins,deed
Ruth,Hoskins,,,,Ruth Hoskins,deed
Stephen,Hoskins,,,,Stephen Hoskins,deed
Washington,Hoskins,,,,Washington Hoskins,deed
Robett,Houston,,,,Robett Houston,deed
William,Howard,,,,William Howard,deed
David,Howell,,,,David Howell,deed
Elizabeth,Howell,,,,Elizabeth Howell,deed
Ezekiel,Howell,,,Ezekial Howell,Ezekial Howell,deed|neighbor
Owen,Howell,,,,Owen Howell,deed|neighbor
Thomas,Howell,,,,Thomas Howell,deed|neighbor
Widow,Howell,,,,Widow Howell,deed|neighbor
Bernard,Hoy,,,,Bernard Hoy,deed
James,Hoy,,,,James Hoy,deed
James F.,Hoy,,,,James F. Hoy,deed
John L.,Hoy,,,,John L. Hoy,deed
Madelin,Hoy,,,,Madelin Hoy,deed
Elizabeth,Hudson,,,,Elizabeth Hudson,deed
Robert,Hudson,,,,Robert Hudson,deed
Cadwalader,Hugh,,,,Cadwalader Hugh,deed|neighbor
Elizabeth,Hughes,,,,Elizabeth Hughes,deed
John,Hughes,,,,John Hughes,deed
Manasseh,Hughes,,,,Manasseh Hughes,deed
Patrick,Hughes,,,,Patrick Hughes,deed
Robert,Hughes,,,,Robert Hughes,deed
Thomas,Hughes,,,,Thomas Hughes,deed
william,Hughes,,,,william Hughes,deed
Patrick,Hughs,,,,Patrick Hughs,deed
Ann,Humphrey,,,,Ann Humphrey,deed
Catherine,Humphrey,,,,Catherine Humphrey,deed
Charles,Humphrey,,,,Charles Humphrey,neighbor
Daniel,Humphrey,,,,Daniel Humphrey,deed
David,Humphrey,,,,David Humphrey,deed|neighbor
Elizabeth,Humphrey,,,,Elizabeth Humphrey,deed
Esther,Humphrey,,,,Esther Humphrey,deed
Euphemia,Humphrey,,,,Euphemia Humphrey,deed
John,Humphrey,,,,John Humphrey,deed|neighbor
Jonathan,Humphrey,,,,Jonathan Humphrey,quit rent
Morgan,Humphrey,,,,Morgan Humphrey,deed|neighbor
Rebecca,Humphrey,,,,Rebecca Humphrey,deed
Thomas,Humphrey,,,,Thomas Humphrey,deed
George,Hunter,,,,George Hunter,deed
James,Hunter,,,,James Hunter,deed
Jonathan,Hunter,,,,Jonathan Hunter,deed
Magdelana,Huntsberger,,,,Magdelana Huntsberger,deed
Martin,Huntsberger,,,,Martin Huntsberger,deed
Samuel,Hursh,,,,Samuel Hursh,deed
Sarah,Hursh,,,,Sarah Hursh,deed
Hannah,Husbands,,,,Hannah Husbands,deed
John,Husbands,,,,John Husbands,deed
James,Huston,,,,James Huston,deed
Mary,Huston,,,,Mary Huston,deed
Robert,Huston,,,,Robert Huston,deed
Robert,Hutchinson,,,,Robert Hutchinson,deed
Frederick,Huzzard,,,,Frederick Huzzard,neighbor
Sarah,Ingraham,,,,Sarah Ingraham,deed
William,Ingraham,,,,William Ingraham,deed
Benjamin,Irons,,,,Benjamin Irons,deed
Charles,Irons,,,,Charles Irons,deed
Elizabeth,Irons,,,,Elizabeth Irons,deed
Ellen,Irons,,,,Ellen Irons,deed
Jacob,Irons,,,,Jacob Irons,deed
Keziah,Irons,,,,Keziah Irons,deed
Robert,Irons,,,,Robert Irons,deed
Sabina,Irons,,,,Sabina Irons,deed
Sarah,Irons,,,,Sarah Irons,deed
William,Irvine,,,,William Irvine,deed
James,Irwin,,,,James Irwin,deed
Priscilla,Irwin,,,,Priscilla Irwin,deed
James,Isaac,,,,James Isaac,deed
Aliviza,Ivester,,,,Aliviza Ivester,deed
William,Ivester,,,,William Ivester,deed
Ralf,Jackson,,,,Ralf Jackson,deed|patent
Margaret,Jacob,,,,Margaret Jacob,deed
Richard,Jacob,,,,Richard Jacob,deed|neighbor
Ann,Jacobs,,,,Ann Jacobs,deed
Benjamin,Jacobs,,,,Benjamin Jacobs,deed
Charles,Jacobs,,,,Charles Jacobs,deed
George,Jacobs,,,,George Jacobs,deed
John,Jacobs,,,,John Jacobs,deed|neighbor
Joseph,Jacobs,,,,Joseph Jacobs,deed|neighbor
Mary,Jacobs,,,,Mary Jacobs,deed
Richard,Jacobs,,,,Richard Jacobs,deed|neighbor|patent
Sarah,Jacobs,,,,Sarah Jacobs,deed
Thomas,Jacobs,,,,Thomas Jacobs,deed
Catherine,James,,,,Catherine James,deed
David,James,,,,David James,deed
Elizabeth,James,,,,Elizabeth James,deed
Gwenillian,James,,,,Gwenillian James,deed
Isaac,James,,,,Isaac James,deed
Jemimah,James,,,,Jemimah James,deed
John,James,,,,John James,deed
Jonathan,James,,,,Jonathan James,deed
Mary,James,,,,Mary James,deed
Philip,James,,,,Philip James,deed
Rachel,James,,,,Rachel James,deed
Sibilla,James,,,,Sibilla James,deed
Thomas,James,,,,Thomas James,deed|neighbor
Unity,James,,,,Unity James,deed
William,James,,,,William James,deed|neighbor
John,Jardine,,,,John Jardine,deed
Jesse,Jarrett,,,,Jesse Jarrett,deed
Mary,Jarrett,,,,Mary Jarrett,deed
Winfield,Jarrett,,,,Winfield Jarrett,deed
Samuel,Jeffries,,,,Samuel Jeffries,deed
Thomas,Jenkin,,,,Thomas Jenkin,deed
Henry,Jenkins,,,,Henry Jenkins,deed
Rachel,Jenkins,,,,Rachel Jenkins,deed
James,Jenks,,,,James Jenks,deed
Margaret,Jenks,,,,Margaret Jenks,deed
Thomas,Jennings,,,,Thomas Jennings,deed
Amos,John,,,,Amos John,deed
Ann,John,,,,Ann John,deed
Catherine,John,,,Catharine John,Catharine John,deed
David,John,,,,David John,deed|neighbor
Elizabeth,John,,,,Elizabeth John,deed
Griffith,John,,,,Griffith John,deed|neighbor
Hannah,John,,,,Hannah John,deed
James,John,,,,James John,deed|neighbor
Jane,John,,,,Jane John,deed
Jeffrey,John,,,,Jeffrey John,deed
Joshua,John,,,,Joshua John,deed|neighbor
Margaret,John,,,,Margaret John,deed
Mary,John,,,,Mary John,deed
Nathaniel,John,,,,Nathaniel John,deed
Rees,John,,,,Rees John,deed|neighbor
Samuel,John,,,,Samuel John,deed|neighbor
Sarah,John,,,,Sarah John,deed
Thomas,John,,,,Thomas John,deed|neighbor|quit rent
William,John,,,,William John,deed
Elizabeth,Johnston,,,,Elizabeth Johnston,deed
Jacob,Johnston,,,,Jacob Johnston,deed
Charles,Jolly,,,,Charles Jolly,deed
Amos,Jones,,,,Amos Jones,deed
Amy,Jones,,,,Amy Jones,deed
Benjamin,Jones,,,,Benjamin Jones,deed|neighbor
Catherine,Jones,,,,Catherine Jones,deed
Daniel,Jones,,,,Daniel Jones,neighbor
David,Jones,,,,David Jones,deed|quit rent
Eliza,Jones,,,,Eliza Jones,deed
Emanuel,Jones,,,,Emanuel Jones,neighbor|patent|quit rent
Ephraim,Jones,,,,Ephraim Jones,neighbor
Griffith,Jones,,,,Griffith Jones,deed|neighbor
Hannah,Jones,,,,Hannah Jones,deed
Horatio,Jones,,,,Horatio Jones,deed
James,Jones,,,,James Jones,deed
Jane,Jones,,,,Jane Jones,deed
Jesse,Jones,,,,Jesse Jones,deed
Johannah,Jones,,,,Johannah Jones,deed
John,Jones,,,,John Jones,deed|neighbor
Jonathan,Jones,,,,Jonathan Jones,deed
Mary,Jones,,,,Mary Jones,deed
Norris,Jones,,,,Norris Jones,deed
Philip,Jones,,,,Philip Jones,deed
Robert,Jones,,,,Robert Jones,deed|neighbor
Rowland,Jones,,,,Rowland Jones,deed
Samuel,Jones,,,,Samuel Jones,deed
Sarah,Jones,,,,Sarah Jones,deed
Thomas,Jones,,,,Thomas Jones,deed
Jacob,Jonston,,,,Jacob Jonston,neighbor
John,Joyce,,,,John Joyce,neighbor
Isaac,Justin,,,,Isaac Justin,deed
John,Justin,,,,John Justin,deed
Joseph,Justin,,,,Joseph Justin,deed
Susan,Justin,,,,Susan Justin,deed
Sarah,Kaley,,,,Sarah Kaley,deed
Solomon,Kaley,,,,Solomon Kaley,deed
Elizabeth,Kellogg,,,,Elizabeth Kellogg,deed
Enoch,Kellogg,,,,Enoch Kellogg,deed
Enos,Kellogg,,,,Enos Kellogg,deed
Ester,Kellogg,,,,Ester Kellogg,deed
James,Kelly,,,,James Kelly,deed
Alexander,Kennedy,,,,Alexander Kennedy,deed
James,Kennedy,,,,James Kennedy,deed
Kennedy,Kennedy,,,,Kennedy,deed
Robert,Kennedy,,,,Robert Kennedy,deed
Samuel,Kennedy,,,,Samuel Kennedy,neighbor
Thomas R.,Kennedy,,,,Thomas R. Kennedy,patent
William,Kennedy,,,,William Kennedy,deed
Daniel,Kenney,,,,Daniel Kenney,deed
Alexander,Kenny,,,,Alexander Kenny,deed
Daniel,Kenny,,,,Daniel Kenny,deed
Elinor,Kenny,,,,Elinor Kenny,deed
James,Kenny,,,,James Kenny,deed|neighbor
Juliann,Kenny,,,,Juliann Kenny,deed
Lucy,Kenny,,,,Lucy Kenny,deed
Lydia,Kenny,,,,Lydia Kenny,deed
John,Kerlin,,,,John Kerlin,neighbor
Elizabeth,Kerr,,,,Elizabeth Kerr,deed
Phebe,Kersey,,,,Phebe Kersey,deed
Catherine,Kidor,,,,Catherine Kidor,deed
John,Kidor,,,,John Kidor,deed|neighbor
David,Kimes,,,,David Kimes,deed
Jane,Kimes,,,,Jane Kimes,deed
John,Kimes,,,,John Kimes,deed
Thomas,Kimes,,,,Thomas Kimes,deed
Willis,Kimes,,,,Willis Kimes,deed
Hannah,Kincade,,,,Hannah Kincade,deed
John,Kincade,,,,John Kincade,deed
Abraham,King,,,,Abraham King,deed
Anne,King,,,,Anne King,deed
Catherine,King,,,Catharine King,Catharine King,deed
Conard,King,,,,Conard King,deed
